setup_event,k,q,N,LUT,FF,DSP,WNS_ns,fmax_MHz,power_mW
A/DROOP,15,15,1000,867,244,38,2.458,44.36,158
A/RH,20,8,550,863,259,37,2.569,44.58,157
B/DROOP,15,15,200,884,242,38,2.474,44.39,158
B/SPECTRE,30,8,700,907,259,37,2.110,43.69,157
